Date,Close,Open,High,Low,Volume,Change
2021-02-25,120.99,124.68,126.46,120.54,148200000.0,-0.0348
2021-02-26,121.26,122.59,124.85,121.2,164560000.0,0.0022
2021-03-01,127.79,123.75,127.93,122.79,116310000.0,0.053899999999999997
2021-03-02,125.12,128.41,128.72,125.01,102260000.0,-0.0209
2021-03-03,122.06,124.81,125.71,121.84,112970000.0,-0.0245
2021-03-04,120.13,121.75,123.6,118.62,178150000.0,-0.0158
2021-03-05,121.42,120.98,121.94,117.57,153770000.0,0.010700000000000001
2021-03-08,116.36,120.93,121.0,116.21,154380000.0,-0.0417
2021-03-09,121.08,119.03,122.06,118.79,129530000.0,0.0406
2021-03-10,119.98,121.69,122.17,119.45,111940000.0,-0.0091
2021-03-11,121.96,122.54,123.21,121.26,103030000.0,0.0165
2021-03-12,121.03,120.4,121.17,119.16,88110000.0,-0.0076
2021-03-15,123.99,121.41,124.0,120.42,92590000.0,0.0245
2021-03-16,125.57,125.7,127.22,124.72,115230000.0,0.0127
2021-03-17,124.76,124.05,125.86,122.34,111930000.0,-0.006500000000000001
2021-03-18,120.53,122.88,123.18,120.32,121470000.0,-0.0339
2021-03-19,119.99,119.9,121.43,119.67,185550000.0,-0.0045000000000000005
2021-03-22,123.39,120.33,123.87,120.26,111910000.0,0.028300000000000002
2021-03-23,122.54,123.33,124.24,122.14,95470000.0,-0.0069
2021-03-24,120.09,122.82,122.9,120.06,88530000.0,-0.02
2021-03-25,120.59,119.54,121.66,119.0,98840000.0,0.0042
2021-03-26,121.21,120.35,121.48,118.92,94070000.0,0.0051
2021-03-29,121.39,121.65,122.58,120.73,80820000.0,0.0015
2021-03-30,119.9,120.11,120.4,118.86,85670000.0,-0.0123
2021-03-31,122.15,121.65,123.52,121.15,118320000.0,0.018799999999999997
2021-04-01,123.0,123.66,124.18,122.49,75090000.0,0.006999999999999999
2021-04-05,125.9,123.87,126.16,123.07,88650000.0,0.0236
2021-04-06,126.21,126.5,127.13,125.65,80170000.0,0.0025
2021-04-07,127.9,125.83,127.92,125.14,83470000.0,0.0134
2021-04-08,130.36,128.95,130.39,128.52,88840000.0,0.0192
2021-04-09,133.0,129.8,133.04,129.47,106690000.0,0.0203
2021-04-12,131.24,132.52,132.85,130.63,91420000.0,-0.0132
2021-04-13,134.43,132.44,134.66,131.93,91270000.0,0.024300000000000002
2021-04-14,132.03,134.94,135.0,131.66,87220000.0,-0.0179
2021-04-15,134.5,133.82,135.0,133.64,89350000.0,0.0187
2021-04-16,134.16,134.3,134.67,133.28,84920000.0,-0.0025
2021-04-19,134.84,133.51,135.47,133.34,94260000.0,0.0051
2021-04-20,133.11,135.02,135.53,131.81,94810000.0,-0.0128
2021-04-21,133.5,132.36,133.75,131.3,68850000.0,0.0029
2021-04-22,131.94,133.04,134.15,131.41,84570000.0,-0.011699999999999999
2021-04-23,134.32,132.16,135.12,132.16,78760000.0,0.018000000000000002
2021-04-26,134.72,134.83,135.06,133.56,66910000.0,0.003
2021-04-27,134.39,135.01,135.41,134.11,66019999.99999999,-0.0024
2021-04-28,133.58,134.31,135.02,133.08,107760000.0,-0.006
2021-04-29,133.48,136.47,137.07,132.45,151100000.0,-0.0007000000000000001
2021-04-30,131.46,131.78,133.56,131.06,109840000.0,-0.0151
2021-05-03,132.54,132.04,134.07,131.83,75140000.0,0.008199999999999999
2021-05-04,127.85,131.19,131.49,126.7,137560000.0,-0.0354
2021-05-05,128.1,129.2,130.45,127.97,84000000.0,0.002
2021-05-06,129.74,127.89,129.75,127.13,78130000.0,0.0128
2021-05-07,130.21,130.85,131.26,129.47,78970000.0,0.0036
2021-05-10,126.85,129.41,129.54,126.81,88070000.0,-0.0258
2021-05-11,125.91,123.5,126.27,122.77,126140000.0,-0.0074
2021-05-12,122.77,123.4,124.64,122.25,112170000.0,-0.024900000000000002
2021-05-13,124.97,124.58,126.15,124.26,105860000.0,0.0179
2021-05-14,127.45,126.25,127.89,125.85,81920000.0,0.019799999999999998
2021-05-17,126.27,126.82,126.93,125.17,74240000.0,-0.009300000000000001
2021-05-18,124.85,126.56,126.99,124.78,63340000.0,-0.011200000000000002
2021-05-19,124.69,123.16,124.92,122.86,92610000.0,-0.0013
2021-05-20,127.31,125.23,127.72,125.1,76860000.0,0.021
2021-05-21,125.43,127.82,128.0,125.21,79300000.0,-0.0148
2021-05-24,127.1,126.01,127.94,125.94,63090000.0,0.013300000000000001
2021-05-25,126.9,127.82,128.32,126.32,72010000.0,-0.0016
2021-05-26,126.85,126.95,127.39,126.42,56580000.0,-0.0004
2021-05-27,125.28,126.44,127.64,125.08,94630000.0,-0.0124
2021-05-28,124.61,125.57,125.8,124.55,71310000.0,-0.0053
2021-06-01,124.28,125.08,125.35,123.94,67640000.0,-0.0026
2021-06-02,125.06,124.28,125.24,124.05,59280000.0,0.0063
2021-06-03,123.54,124.68,124.85,123.13,76230000.0,-0.012199999999999999
2021-06-04,125.89,124.07,126.16,123.85,75170000.0,0.019
2021-06-07,125.9,126.17,126.32,124.83,71060000.0,0.0001
2021-06-08,126.74,126.6,128.46,126.21,74400000.0,0.0067
